,word,label
290,and,0
291,subsequently,0
292,characterized,0
293,without,0
294,any,0
295,ex,0
296,situ,0
297,treatment,0
298,The,0
299,PBA,0
300,precursor,0
301,of,0
302,IUPAC,0
303,name,0
304,3-nitro-N-[3-(triethoxysilyl)propyl]-4-[[[3-(triethoxysilyl)propyl]amino]-methyl]benzamide,2
305,was,0
306,first,0
307,synthesized,7
308,and,0
309,characterized,0
310,The,0
311,synthesis,7
312,involved,0
313,a,0
314,soft,0
315,chlorination,7
316,of,0
317,4-(bromomethyl)-3-nitrobenzoic,1
318,acid,1
319,followed,0
320,by,0
321,a,0
322,coupling,0
323,with,0
324,2,10
325,equiv,9
326,of,0
327,3-(aminopropyl)triethoxysilane,1
328,in,0
329,dichloromethane,4
330,under,0
331,base,0
332,catalysis,0
333,at,0
334,0,10
335,°C,8
336,The,0
337,chemical,0
338,structure,0
339,of,0
340,the,0
341,precursor,0
342,was,0
343,confirmed,0
344,via,0
345,proton,0
346,and,0
347,carbon,0
348,NMR,0
349,and,0
350,Fourier,0
351,transform,0
352,infrared,0
353,FTIR,0
354,spectroscopies,0
355,BS,2
356,nanomaterials,3
357,were,0
358,then,0
359,synthesized,7
360,via,0
361,sol-gel,6
362,methods,0
363,Controlled,0
364,designs,0
365,of,0
366,BS,2
367,NPs,2
368,with,0
369,different,0
370,morphologies,0
371,were,0
372,achieved,0
373,via,0
374,a,0
375,modified,0
376,Stober,0
377,method,0
378,An,0
379,aqueous,0
380,mixture,3
381,containing,0
382,cetyltrimethylammonium,1
383,bromide,0
384,CTAB,1
385,a,0
386,sodium,0
387,hydroxide,1
388,catalyst,0
389,and,0
390,an,0
391,ethanol,1
392,cosolvent,3
393,was,0
394,prepared,0
395,at,0
396,75,10
397,°C,8
398,Then,0
399,hydrolysis-condensation,6
400,of,0
401,the,0
402,PBA,1
403,precursor,0
404,was,0
405,conducted,0
406,for,0
407,2,10
408,h,8
409,Such,0
410,conditions,0
411,led,0
412,to,0
413,the,0
414,formation,0
415,of,0
416,BS,2
417,NPs,2
418,with,0
419,size,0
420,under,0
421,200,10
422,nm,8
423,as,0
424,shown,0
425,by,0
426,transmission,0
427,electron,0
428,microscopy,5
429,TEM,5
430,image,0
431,Amikabeads-P,2
433,parental,0
434,were,0
435,generated,0
436,using,0
437,the,0
438,emulsion,0
439,polymerization,7
440,method,0
441,Amikacin,1
442,hydrate,3
443,100,10
444,mg,9
445,0.17,10
446,mmol,9
447,was,0
448,dissolved,6
449,in,0
450,1,10
451,mL,9
452,of,0
453,nanopure,0
454,water,4
455,followed,0
456,by,0
457,addition,0
458,of,0
459,poly,0
460,ethylene glycol,1
461,diglycidyl,1
462,ether,0
463,PEGDE,1
464,in,0
465,a,0
466,mole,9
467,ratio,0
468,of,0
469,1:02,12
470,to,0
471,generate,0
472,a,0
473,uniform,0
474,mixture,3
475,The,0
476,mixture,3
477,was,0
478,stirred,6
479,at,0
480,100,10
481,rpm,8
482,and,0
483,pregelled,6
484,for,0
485,4,10
486,min,8
487,at,0
488,70,10
489,°C,8
490,After,0
491,4,10
492,min,8
493,the,0
494,solution,3
495,was,0
496,collected,0
497,in,0
498,a,0
499,syringe,5
500,and,0
501,dispensed,6
502,slowly,0
503,into,0
504,a,0
505,solution,3
506,of,0
507,mineral,0
508,oil,4
509,and,0
510,1%,12
511,w/v,9
512,Span-80,4
513,through,0
514,27,10
515,G11/4,0
516,BD,0
517,PrecisionGlide,0
518,needle,5
519,The,0
520,mineral,0
521,oil-surfactant,0
522,solution,3
523,was,0
524,maintained,0
525,at,0
526,65,10
527,°C,8
528,throughout,0
529,the,0
530,process,0
531,Approximately,0
532,500,10
533,μL,9
534,of,0
535,the,0
536,pregel,0
537,solution,3
538,was,0
539,dispensed,6
540,into,0
541,the,0
542,heated,0
543,oil,4
544,phase,0
545,within,0
546,25,10
547,min,8
548,under,0
549,constant,0
550,stirring,6
551,of,0
552,260,10
553,rpm,8
554,The,0
555,beads,0
556,were,0
557,allowed,0
558,to,0
559,gel,7
560,for,0
561,10,10
562,min,8
563,after,0
564,their,0
565,addition,0
566,followed,0
567,by,0
568,extensive,0
569,washing,6
570,and,0
571,size,0
572,measurements,0
573,The,0
574,beads,0
575,were,0
576,collected,0
577,by,0
578,centrifugation,6
579,for,0
580,10,10
581,min,8
582,at,0
583,5500,10
584,rpm,8
585,Oil,4
586,was,0
587,washed,6
588,off,0
589,the,0
590,surface,0
591,of,0
592,the,0
593,beads,0
594,by,0
595,using,0
596,a,0
597,solution,3
598,of,0
599,1%,12
600,v/v,9
601,Tween,4
602,20,10
603,detergent,3
604,Following,0
605,detergent,3
606,washes,6
607,the,0
608,beads,0
609,were,0
610,finally,0
611,washed,0
612,multiple,11
613,times,8
614,with,0
615,nanopure,0
616,water,4
617,The,0
618,particle,0
619,diameters,0
620,of,0
621,Amikabeads-P,2
622,were,0
623,measured,0
624,using,0
625,phase-contrast,0
626,microscopy,5
627,50,10
628,beads,0
629,were,0
630,chosen,0
631,randomly,0
632,from,0
633,each,0
634,batch,0
635,and,0
636,their,0
637,diameters,0
638,were,0
639,recorded,0
640,The,0
641,averaged,0
642,bead,0
643,diameter,0
644,of,0
645,these,0
646,samples,0
647,was,0
648,used,0
649,as,0
650,an,0
651,indicator,0
652,of,0
653,size,0
654,in,0
655,subsequent,0
656,analyses,0
657,Zinc-doped,0
658,MgO,2
659,ZnxMg1-xO,2
660,powders,3
661,were,0
662,synthesized,7
663,in,0
664,a,0
665,flame,4
666,spray,0
667,reactor,0
668,Detailed,0
669,description,0
670,of,0
671,the,0
672,setup,0
673,can,0
674,be,0
675,found,0
676,elsewhere,0
677,For,0
678,the,0
679,preparation,0
680,of,0
681,the,0
682,precursor,0
683,solutions,3
684,56.8,10
685,g,8
686,of,0
687,Mg(II),1
688,acetylacetonate,1
689,was,0
690,dissolved,6
691,in,0
692,a,0
693,mixture,3
694,of,0
695,2-ethylhexanoic,4
696,acid,4
697,167.2,10
698,mL,8
699,ethanol,4
700,absolute,0
701,100,10
702,mL,8
703,and,0
704,certain,0
705,amount,0
706,of,0
707,xylene,4
708,to,0
709,make,0
710,a,0
711,final,0
712,volume,0
713,of,0
714,500,10
715,mL,8
716,corresponding,0
717,to,0
718,an,0
719,Mg(II),1
720,concentration,6
721,of,0
722,0.5,10
723,mol/L,9
724,The,0
725,Zn(II),1
726,solution,3
727,0.5,10
728,mol/L,9
729,was,0
730,made,0
731,by,0
732,diluting,6
733,81.7,10
734,g,8
735,of,0
736,Zn(II),1
737,naphthenate,1
738,in,0
739,naphthenic,4
740,acid,4
741,as,0
742,received,0
743,with,0
744,xylene,4
745,to,0
746,a,0
747,final,0
748,volume,0
749,of,0
750,250,10
751,mL,9
752,The,0
753,Mg(II),1
754,and,0
755,Zn(II),1
756,solutions,3
757,were,0
758,mixed,6
759,at,0
760,chosen,0
761,volume,0
762,ratio,0
763,to,0
764,achieve,0
765,the,0
766,desired,0
767,Zn(II),1
768,doping,6
769,levels,0
770,while,0
771,keeping,0
772,the,0
773,total,0
774,metal,0
775,concentration,6
776,of,0
777,0.5,10
778,mol/L,9
779,in,0
780,the,0
781,precursor,0
782,solutions,3
783,During,0
784,flame,4
785,spray,0
786,pyrolysis,7
787,experiments,0
788,the,0
789,mixed,0
790,precursor,0
791,solution,3
792,was,0
793,fed,0
794,by,0
795,a,0
796,syringe,6
797,pump,5
798,KD,0
799,Scientific,0
800,at,0
801,a,0
802,fixed,0
803,flow,0
804,rate,0
805,of,0
806,5,10
807,mL/min,9
808,The,0
809,liquid,3
810,was,0
811,dispersed,0
812,into,0
813,fine,0
814,droplets,0
815,by,0
816,O2,4
817,gas,3
818,5,10
819,L/min,9
820,1.5,10
821,bar,8
822,at,0
823,the,0
824,spray,0
825,nozzle,0
826,exit,0
827,The,0
828,spray,0
829,was,0
830,ignited,0
831,by,0
832,a,0
833,CH4/O2,4
834,1.5,10
835,and,0
836,3.2,10
837,L/min,9
838,respectively,0
839,supporting,0
840,flame,4
841,to,0
842,form,0
843,a,0
844,self-sustained,0
845,flame,4
846,The,0
847,flow,0
848,rates,0
849,of,0
850,all,0
851,gases,3
852,were,0
853,controlled,0
854,by,0
855,calibrated,0
856,mass,0
857,flow,0
858,controllers,5
859,Bronkhorst,0
860,High-Tech,0
861,The,0
862,generated,0
863,ZnxMg1-xO,2
864,particles,3
865,were,0
866,directed,0
867,by,0
868,a,0
869,vacuum,4
870,pump,5
871,and,0
872,collected,6
873,on,0
874,a,0
875,water-cooled,0
876,glass,0
877,fiber,0
878,filter,5
879,Whatman,0
880,GF-6,0
881,placed,0
882,450,10
883,mm,9
884,above,0
885,the,0
886,nozzle,0
887,After,0
888,being,0
889,collected,0
890,from,0
891,the,0
892,filter,5
893,surface,0
894,the,0
895,powders,3
896,were,0
897,sieved,0
898,to,0
899,remove,0
900,the,0
901,glass,0
902,fibers,0
903,A,0
904,solution,3
905,of,0
906,G0.5-C18,1
907,0.6,10
908,g,9
909,1,10
910,mmol,9
911,and,0
912,ED-2003,1
913,1,10
914,g,9
915,0.5,10
916,mmol,9
917,in,0
918,dry,0
919,THF,1
920,15,10
921,mL,9
922,was,0
923,stirred,6
924,at,0
925,60,10
926,°C,8
927,under,0
928,a,0
929,N2,4
930,atmosphere,3
931,for,0
932,approximately,0
933,4,10
934,h,8
935,After,0
936,cooling,6
937,to,0
938,room,11
939,temperature,11
940,the,0
941,volatiles,0
942,were,0
943,evaporated,6
944,under,0
945,reduced,0
946,pressure,0
947,The,0
948,crude,0
949,product,0
950,was,0
951,purified,6
952,through,0
953,column,0
954,chromatography,7
955,SiO2,4
956,EtOAc/hexanes,4
957,to,0
958,obtain,0
959,D-G0.5-C18,2
960,as,0
961,a,0
962,yellowish,0
963,viscous,0
964,liquid,3
965,0.5,10
966,g,9
967,35%,12
969,Silver,0
970,nitrate,0
971,AgNO3,1
972,was,0
973,added,6
974,at,0
975,various,0
976,AgNO3-todendrimer,1
978,mole,9
979,ratios,0
980,from,0
981,1,10
982,to,0
983,100,10
984,0,10
985,to,0
986,an,0
987,aqueous,0
988,solution,3
989,containing,0
990,micelles,0
991,of,0
992,a,0
993,dumbbell-shaped,0
994,dendrimer,0
995,Furthermore,0
996,four,0
997,equivalents,12
998,of,0
999,reduction,0
1000,agent,0
1001,NaBH4,1
1002,were,0
1003,added,6
1004,to,0
1005,the,0
1006,solution,3
1007,with,0
1008,vigorous,0
1009,stirring,6
1010,During,0
1011,the,0
1012,reduction,7
1013,process,0
1014,the,0
1015,color,0
1016,of,0
1017,solution,3
1018,changed,0
1019,from,0
1020,transparent,0
1021,to,0
1022,yellowish,0
1023,indicating,0
1024,that,0
1025,reduction,7
1026,of,0
1027,Ag+,0
1028,to,0
1029,Ag0,0
1030,was,0
1031,occurring,0
1032,in,0
1033,the,0
1034,micelle,0
1035,solution,3
1036,The,0
1037,UV-vis,0
1038,absorption,0
1039,spectrum,0
1040,of,0
1041,the,0
1042,AgNP-dispersed,2
1043,micelle,0
1044,solution,3
1045,was,0
1046,measured,0
1047,to,0
1048,evaluate,0
1049,the,0
1050,reduction,7
1051,of,0
1052,the,0
1053,Ag,0
1054,colloid,0
1055,in,0
1056,solution,3
1057,In,0
1058,addition,0
1059,the,0
1060,encapsulation,0
1061,capacity,0
1062,of,0
1063,the,0
1064,AgNPs,1
1065,in,0
1066,the,0
1067,dumbbellshaped,0
1068,dendrimer,0
1069,based,0
1070,micelles,0
1071,was,0
1072,calculated,0
1073,according,0
1074,to,0
1075,the,0
1076,literature.11,0
1077,The,0
1078,organic/AgNP,2
1079,nanohybrid,0
1080,solution,3
1081,was,0
1082,prepared,0
1083,by,0
1084,the,0
1085,reduction,7
1086,of,0
1087,the,0
1088,AgNO3,1
1089,AgNO3/D-G2.5-C18,1
1090,molar,0
1091,ratio:,0
1092,1000:01:00,12
1093,in,0
1094,the,0
1095,dumbbell-shaped,0
1096,dendrimer,0
1097,based,0
1098,micelle,0
1099,10-2,12
1100,wt,9
1101,%,12
1102,1.34,10
1103,×,12
1104,10-2,10
1105,M,9
1106,solution,3
1107,The,0
1108,organic/AgNP,2
1109,nanohybrid,0
1110,solution,3
1111,was,0
1112,then,0
1113,dialyzed,6
1114,against,0
1115,deionized,0
1116,water,4
1117,with,0
1118,a,0
1119,dialysis,6
1120,membrane,0
1121,molecular,0
1122,weight,0
1123,cut,0
1124,off:,0
1125,12000,10
1126,-,12
1127,14000,10
1128,g/mol,9
1129,for,0
1130,24,10
1131,h,8
1132,A,0
1133,Teflon-lined,0
1134,stainless,0
1135,steel,0
1136,autoclave,5
1137,was,0
1139,filled,0
1140,with,0
1141,20,10
1142,mL,9
1143,aqueous,0
1144,solution,3
1145,which,0
1146,containing,0
1147,0.1,10
1148,M,9
1149,of,0
1150,FeCl3·6H2O,1
1151,and,0
1152,1,10
1153,M,9
1154,NaNO3,1
1155,A,0
1156,piece,0
1157,of,0
1158,FTO,4
1159,glass,0
1160,was,0
1161,cleaned,0
1162,ultrasonically,0
1163,in,0
1164,pure,0
1165,water,4
1166,ethanol,4
1167,and,0
1168,acetone,4
1169,and,0
1170,then,0
1171,rinsed,6
1172,in,0
1173,water,4
1174,again,0
1175,before,0
1176,chemical,0
1177,bath,0
1178,deposition,6
1179,Then,0
1180,the,0
1181,FTO,4
1182,glass,0
1183,was,0
1184,put,0
1185,into,0
1186,the,0
1187,autoclave,5
1188,and,0
1189,heated,6
1190,at,0
1191,95,10
1192,°C,8
1193,A,0
1194,uniform,0
1195,yellow,0
1196,layer,0
1197,of,0
1198,iron,0
1199,oxyhydrodides,2
1200,FeOOH,2
1201,film,0
1202,was,0
1203,formed,0
1204,on,0
1205,the,0
1206,FTO,4
1207,substrate,0
1208,cooled,6
1209,slowly,0
1210,to,0
1211,room,4
1212,temperature,4
1213,for,0
1214,PEC,0
1215,measurements,0
1216,In,0
1217,a,0
1218,different,0
1219,approach,0
1220,hematite-nanostructured,0
1221,photoanodes,0
1222,were,0
1223,prepared,0
1224,with,0
1225,the,0
1226,same,0
1227,conditions,0
1228,except,0
1229,the,0
1230,lack,0
1231,of,0
1232,using,0
1233,inorganic,0
1234,salt,0
1235,NaNO3,1
1236,in,0
1237,the,0
1238,electrolyte,0
1239,during,0
1240,the,0
1241,process,0
1242,of,0
1243,chemical,0
1244,bath,0
1245,deposition,6
1246,Vertically,0
1247,aligned,0
1248,Si,0
1249,nanostructure,0
1250,arrays,0
1251,SiNs,2
1252,on,0
1253,boron-doped,0
1254,p-type,0
1255,single-side-polished,0
1256,Si(100),1
1257,substrates,0
1258,resistivity,0
1259,=,12
1260,2−10,12
1261,Ω,8
1262,cm,8
1263,were,0
1264,fabricated,6
1265,by,0
1266,ICP-RIE,4
1267,etching,0
1268,technique,0
1269,using,0
1270,silver,4
1271,nano-particles,3
1272,as,0
1273,a,0
1274,mask,4
1275,Si,1
1276,substrates,0
1277,were,0
1278,first,0
1279,cleaned,6
1280,through,0
1281,the,0
1282,standard,0
1283,RCA,4
1284,cleaning,0
1285,process,0
1286,Thereafter,0
1287,a,0
1288,uniform,0
1289,layer,0
1290,of,0
1291,Ag,4
1292,nanoparticles,3
1293,Ag,4
1294,NPs,4
1295,on,0
1296,cleaned,6
1297,Si,1
1298,were,0
1299,prepared,0
1300,by,0
1301,depositing,6
1302,a,0
1303,Ag,4
1304,film,0
1305,10,10
1306,nm,9
1307,thick,0
1308,by,0
1309,thermal,0
1310,evaporation,0
1311,followed,0
1312,by,0
1313,annealing,0
1314,in,0
1315,an,0
1316,inert,4
1317,atmosphere,3
1318,at,0
1319,400,10
1320,°C,8
1321,for,0
1322,1,10
1323,h,8
1324,Si,1
1325,pieces,0
1326,of,0
1327,2,10
1328,×,12
1329,2,10
1330,cm,9
1331,2,10
1332,in,0
1333,size,0
1334,coated,0
1335,with,0
1336,Ag,1
1337,NPs,1
1338,average,0
1339,diameter,0
1340,of,0
1341,50,10
1342,nm,9
1343,were,0
1344,then,0
1345,transferred,0
1346,into,0
1347,the,0
1348,SENTECH,0
1349,SI,1
1350,500,10
1351,ICP-RIE,0
1352,system,0
1353,employing,0
1354,CF4,4
1355,gas,3
1356,to,0
1357,etch,0
1358,the,0
1359,unmasked,0
1360,area,0
1361,In,0
1362,CF4-based,4
1363,plasma,0
1364,etching,0
1365,system,0
1366,under,0
1367,application,0
1368,of,0
1369,an,0
1370,electric,0
1371,field,0
1372,free,0
1373,electrons,0
1374,collide,6
1375,with,0
1376,neutral,0
1377,molecules,0
1378,of,0
1379,CF4,4
1381,resulting,0
1382,in,0
1383,dissociation,0
1384,of,0
1385,CF4,4
1386,into,0
1387,electrons,0
1388,ions,0
1389,and,0
1390,fluorine,0
1391,radicals,0
1392,because,0
1393,of,0
1394,dissociative,6
1395,ionization,6
1396,resulting,0
1397,in,0
1398,the,0
1399,formation,0
1400,of,0
1401,volatile,0
1402,SiF4,2
1404,Though,0
1405,dry,0
1406,etching,0
1407,is,0
1408,a,0
1409,combination,0
1410,of,0
1411,both,0
1412,physical,0
1413,and,0
1414,chemical,0
1415,mechanisms,0
1416,outer,0
1417,Si,1
1418,atoms,0
1419,are,0
1420,dominantly,0
1421,removed,6
1422,by,0
1423,chemical,0
1424,reaction,0
1425,in,0
1426,an,0
1427,ICP-RIE,4
1428,process,0
1429,Although,0
1430,the,0
1431,ICP,4
1432,power,4
1433,controls,0
1434,the,0
1435,plasma,0
1436,density,0
1437,an,0
1438,additional,0
1439,RF,0
1440,source,0
1441,is,0
1442,coupled,0
1443,capacitively,0
1444,to,0
1445,the,0
1446,substrate,0
1447,holder,0
1448,to,0
1449,adjust,0
1450,the,0
1451,substrate,0
1452,bias,0
1453,voltage,0
1454,The,0
1455,bias,0
1456,voltage,0
1457,to,0
1458,the,0
1459,substrate,0
1460,is,0
1461,generally,0
1462,very,0
1463,low,0
1464,on,0
1465,the,0
1466,order,0
1467,of,0
1468,a,0
1469,few,0
1470,tens,0
1471,of,0
1472,volts,0
1473,only,0
1474,offering,0
1475,low,0
1476,velocity,0
1477,with,0
1478,which,0
1479,ions,0
1480,hit,0
1481,the,0
1482,substrate,0
1483,As,0
1484,a,0
1485,result,0
1486,the,0
1487,ICP-RIE,4
1488,method,0
1489,provides,0
1490,minimal,0
1491,ion-induced,0
1492,damage,0
1493,Substrate,0
1494,temperature,4
1495,gas,3
1496,flow,0
1497,rate,0
1498,and,0
1499,chamber,0
1500,pressure,4
1501,were,0
1502,kept,0
1503,at,0
1504,constant,0
1505,values,0
1506,of,0
1507,20,10
1508,°C,8
1509,0.6,10
1510,Pa,8
1511,and,0
1512,40,10
1513,sccm,8
1514,respectively,0
1515,which,0
1516,are,0
1517,found,0
1518,to,0
1519,be,0
1520,optimal,0
1521,for,0
1522,growth,0
1523,ICP,4
1524,and,0
1525,RF,4
1526,powers,4
1527,were,0
1528,varied,0
1529,to,0
1530,attain,0
1531,the,0
1532,desired,0
1533,aspect,0
1534,ratio,0
1535,for,0
1536,lowest,0
1537,reflectance,0
1538,in,0
1539,Si,1
1540,nanostructures,3
1541,The,0
1542,n-type,0
1543,undoped,0
1544,GaN-coated,4
1545,sapphire,1
1546,substrate,0
1547,was,0
1548,initially,0
1549,cleaned,6
1550,with,0
1551,acetone,4
1552,ethanol,4
1553,and,0
1554,deionized,0
1555,water,4
1556,respectively,0
1557,and,0
1558,then,0
1559,blown,6
1560,with,0
1561,dry,0
1562,N2,4
1564,before,0
1565,deposition,6
1566,The,0
1567,n-GaN,4
1568,layer,0
1569,with,0
1570,a,0
1571,thickness,0
1572,of,0
1573,3.2,10
1574,μm,8
1575,has,0
1576,a,0
1577,resistivity,0
1578,and,0
1579,a,0
1580,carrier,0
1581,concentration,0
1582,of,0
1583,9.13,10
1584,×,12
1585,10,10
1586,-2,0
1587,Ω,0
1588,cm,9
1589,and,0
1590,1.78,10
1591,×,12
1592,10,10
1593,17,10
1594,cm,9
1595,-2,0
1597,respectively,0
1598,Then,0
1599,80-nm,12
1600,MZO,0
1601,film,0
1602,was,0
1603,deposited,6
1604,on,0
1605,the,0
1606,GaN-coated,4
1607,sapphire,1
1608,substrate,0
1609,by,0
1610,radio,0
1611,frequency,0
1612,reactive,0
1613,magnetron,0
1614,sputtering,0
1615,at,0
1616,100,10
1617,°C,8
1618,The,0
1619,films,0
1620,were,0
1621,deposited,6
1622,at,0
1623,total,0
1624,pressure,4
1625,of,0
1626,2,10
1627,Pa,8
1628,with,0
1629,a,0
1630,power,4
1631,of,0
1632,sputtering,0
1633,of,0
1634,120,10
1635,W,8
1636,and,0
1637,an,0
1638,Ar/O2,4
1639,ratio,0
1640,of,0
1641,8:03,12
1642,Herein,0
1643,the,0
1644,thickness,0
1645,of,0
1646,the,0
1647,MZO,0
1648,film,0
1649,is,0
1650,measured,0
1651,by,0
1652,a,0
1653,surface,0
1654,profilometer,0
1655,Talysurf,0
1656,Serles,0
1657,II,0
1658,and,0
1659,the,0
1660,MZO,0
1661,composition,0
1662,was,0
1663,determined,0
1664,by,0
1665,X-ray,4
1666,photoelectron,0
1667,spectroscopy,0
1668,XPS,0
1669,Before,0
1670,deposition,6
1671,the,0
1672,target,0
1673,was,0
1674,presputtered,6
1675,for,0
1676,10,10
1677,min,8
1678,to,0
1679,remove,0
1680,some,0
1681,possible,0
1682,contaminants,0
1683,Then,0
1684,80-nm-thick,0
1685,Au,4
1686,electrodes,0
1687,were,0
1688,patterned,0
1689,on,0
1690,the,0
1691,ZnO,1
1692,surface,0
1693,with,0
1694,a,0
1695,shadow,0
1696,mask,0
1697,by,0
1698,radio,0
1699,frequency,0
1700,reactive,0
1701,magnetron,0
1702,sputtering,6
1703,at,0
1704,room,4
1705,temperature,4
1706,After,0
1707,that,0
1708,the,0
1709,devices,0
1710,were,0
1711,annealed,0
1712,at,0
1713,700,10
1714,°C,8
1715,for,0
1716,2,10
1717,h,8
1718,in,0
1719,air,0
1720,Finally,0
1721,to,0
1722,get,0
1723,large-area,0
1724,Ohmic,0
1725,contacts,0
1726,to,0
1727,the,0
1728,surface,0
1729,of,0
1730,GaN,4
1731,an,0
1732,In,4
1733,electrode,0
1734,was,0
1735,applied,0
1736,The,0
1737,Au,1
1738,electrode,0
1739,area,0
1740,is,0
1741,π,10
1742,×,12
1743,0.5,10
1744,2,10
1745,mm,9
1746,2,10
1747,and,0
1748,the,0
1749,In,4
1750,electrode,0
1751,area,0
1752,is,0
1753,1,10
1754,×,12
1755,0.5,10
1756,mm,9
1757,2,10
1759,All,0
1760,the,0
1761,I-V,0
1762,characteristics,0
1763,were,0
1764,measured,0
1765,by,0
1766,a,0
1767,Keithley,0
1768,4200,10
1769,electrometer,5
1770,The,0
1771,EL,0
1772,measurements,0
1773,were,0
1774,carried,0
1775,out,0
1776,in,0
1777,an,0
1778,Acton,0
1779,SpectroPro,0
1780,2500,10
1781,monochromator,7
1782,Transmission,0
1783,electron,0
1784,microscope,0
1785,TEM,7
1786,techniques,0
1787,including,0
1788,the,0
1789,bright,0
1790,field,0
1791,BF,0
1792,imaging,0
1793,high,0
1794,resolution,0
1795,HR,0
1796,and,0
1797,the,0
1798,selected,0
1799,area,0
1800,electron,0
1801,diffraction,0
1802,SAED,0
1803,were,0
1804,performed,0
1805,using,0
1806,a,0
1807,JEOL,0
1808,JEM0-2010,0
1809,HT,0
1810,electron,0
1811,microscope,7
1812,All,0
1813,of,0
1814,these,0
1815,measurements,0
1816,were,0
1817,carried,0
1818,out,0
1819,at,0
1820,room,4
1821,temperature,4
1822,RT,4
1823,in,0
1824,ambient,0
1825,atmosphere,0
1826,TiO2-M-TiO2,2
1827,M,0
1828,=,0
1829,W,0
1830,and,0
